OID_,Parcel,Address,Owner,Care_and_Custody,Prop_NAME,GlobalID,User_Agency,Lot_Size_SF,Shape_Length,Shape_Area,shape_wkt
1,0107071000,"SPECTACLE ISLAND, EAST BOSTON 02128",City of Boston,BPRD,Spectacle Island I,{58C3F9FC-8AC0-458E-91AA-61A5F26B8D5C},BPRD,2272823.000000000000000,0.020308930686824,0.000020721597038,
2,0107073000,"SPECTACLE ISLAND, EAST BOSTON 02128",City of Boston,BPRD,Spectacle Island I,{4ED7DCE6-21FD-42DB-A006-4C123A9B8434},BPRD,504396.000000000000000,0.009294372871103,0.000005140684505,
3,0107070000,"SPECTACLE ISLAND, EAST BOSTON 02128",City of Boston,BPRD,Spectacle Island I,{99BDAA6A-8351-4C6D-9428-8B822173CAD5},BPRD,91500.000000000000000,0.004755470639421,0.000000415233928,
4,0107066000,"LONG ISLAND, ",City of Boston,MOH,,{FDE30434-6470-40C1-8F8A-75906D56B26D},Non City,7269095.000000000000000,0.073055495067799,0.000072939785215,
5,0107064000,"RAINSFORD ISLAND, EAST BOSTON 02128",City of Boston,BPRD,Rainsford Island,{E90E21B9-8607-4A3B-81CE-28969B28C036},BPRD,498160.000000000000000,0.019790511267686,0.000005390480948,
6,0107067000,"FORT STRONG, EAST BOSTON 02128",City of Boston,BPRD,Long Island,{E923DC9C-C20F-4090-A6AC-DC525806B98F},BPRD,2057888.000000000000000,0.025861512557576,0.000020115318963,
7,0302951010,"306  CONGRESS ST, Downtown, MA 02201",BPDA,Tenant,,{B374BEA1-F754-44C9-8F3C-3874383DB877},Non City,16825.000000000000000,0.003134144891070,0.000000169550118,
8,0107072000,"SPECTACLE ISLAND, EAST BOSTON 02128",City of Boston,BPRD,Spectacle Island I,{157E56DB-1008-428C-80D8-D3CD6B6142E6},BPRD,266500.000000000000000,0.008372923778035,0.000002772668101,
9,1803009001,"TENNIS RD, Mattapan",City of Boston,MOH,,{6E4CC006-F34D-4935-AC7A-93790855C4FE},N A,29.000000000000000,0.000087190010174,0.000000000449302,"MULTIPOLYGON (((-71.096688424999968 42.276371637000068, -71.096674629999939 42.276385392000066, -71.096671069999957 42.27638894200004, -71.096685958999956 42.27639904800003, -71.096688753999956 42.27639629600003, -71.096704593999959 42.276380703000029, -71.096688424999968 42.276371637000068)))"
10,1203316002," HOLWORTHY ST, Roxbury, MA 02121",BPDA,BPDA,,{3318D252-77F7-430E-81F5-5098E558F167},N A,2250.000000000000000,0.000744447318969,0.000000025216761,
