FID,Name,Acres,TC_ID,Shape_Leng,OBJECTID,TC_ID_1,Total_A,Can_A,Grass_A,Soil_A,Water_A,Build_A,Road_A,Paved_A,Perv_A,Imperv_A,Can_P,Grass_P,Soil_P,Water_P,Build_P,Road_P,Paved_P,Perv_P,Imperv_P,OBJECTID_1,TC_ID_12,VALUE_0,TC_E_A,TC_Pv_A,TC_Land_A,TC_Pi_A,TC_P_A,TC_E_P,TC_Pv_P,TC_P_P,TC_Pi_P,Shape__Area,Shape__Length
1,Roslindale,1678.12032624,1,51734.7231719,1,1,73098142,24844503,17018593,138378,12018,11791859,9146215,10146576,42013492,31084650,33.9878720857,23.2818407341,0.189304401198,0.0164409103586,16.1315440822,12.5122400512,13.8807577353,57.4754581313,42.5245418687,1,1,446,24844503,17018593,73086124,10284954,27303547,33.9934609202,23.28566911,37.3580448732,14.0723757631,73098629.1906738,51734.7231718815
2,Jamaica Plain,2603.28822206,2,54932.6352513,2,2,113040175,49183173,19348010,511385,2976685,15952374,11519244,13549304,72019253,41020922,43.5094628967,17.1160474583,0.452392257885,2.63329829417,14.1121278342,10.1903982367,11.986273022,63.7112009071,36.2887990929,2,2,1360,49183173,19348010,110063490,14060689,33408699,44.686183402,17.5789537475,30.3540247543,12.7750710067,113041840.946289,54932.6352512993
3,Mission Hill,350.8535636,3,17554.4806882,3,3,15188809,3858636,1745450,82911,764,3911446,2495234,3094368,5687761,9501048,25.4044671969,11.4916844369,0.545869001315,0.00503001914107,25.7521573943,16.4281083527,20.3726835988,37.4470506542,62.5529493458,3,3,473,3858636,1745450,15188045,3177279,4922729,25.4057451107,11.4922624999,32.4118673602,20.9196048603,15189295.6535645,17554.4806881631
4,Roxbury,1701.40209833,4,41679.9264926,4,4,74112223,19118383,10463938,382498,3196,17015025,11814852,15314331,29968015,44144208,25.7965315654,14.1190448437,0.516106499734,0.00431237907949,22.9584599021,15.941839985,20.663704825,40.4359952878,59.5640047122,4,4,423,19118383,10463938,74109027,15696829,26160767,25.7976440576,14.1196537366,35.3003784546,21.1807247179,74112778.7802734,41679.9264925971
5,South End,471.535355606,5,17912.3335695,5,5,20539971,3946939,982348,6580,0,6983498,4566798,4053808,4935867,15604104,19.2158937323,4.78261629483,0.0320350987837,0,33.9995514112,22.2337120145,19.7361914484,24.0305451259,75.9694548741,5,5,61,3946939,982348,20539971,4060388,5042736,19.2158937323,4.78261629483,24.550842842,19.7682265472,20539997.9301758,17912.3335694933
6,Back Bay/Beacon Hill,599.471315032,6,28102.527517,6,6,26109680,5427600,2081877,16135,491698,9712130,5098727,3281513,8017310,18092370,20.787692534,7.97358297765,0.061797004023,1.8832019389,37.1974302251,19.5281098811,12.5681854393,30.7062744545,69.2937255455,6,6,3117,5427600,2081877,25617982,3297648,5379525,21.1866805121,8.12662371298,20.9990193607,12.8723956477,26112787.1928711,28102.5275169538
7,East Boston,3012.05959319,7,119348.815801,7,7,130921565,9609091,35223895,1215291,495153,18273087,40771907,25333141,46543430,84378135,7.33957847204,26.9045783252,0.928258839558,0.378205836449,13.9572781612,31.1422392484,19.3498611172,35.5506214732,64.4493785268,7,7,31776,9609091,35223895,130426412,26548432,61772327,7.36744256984,27.0067193139,47.3618234626,20.3551041487,130958571.808105,119348.815801137
8,Charlestown,871.541222856,8,57636.657678,8,8,37849782,4344277,3488289,113255,896881,8870799,7081932,13054349,8842702,29007080,11.4776803734,9.21614026733,0.299222331056,2.36958035848,23.4368562545,18.7106282409,34.4898921743,23.3626233303,76.6373766697,8,8,7213,4344277,3488289,36952901,13167604,16655893,11.7562542654,9.43982449443,45.0733029052,35.6334784108,37856986.6582031,57636.6576779751
9,Central Boston,833.378175172,9,51775.8954996,9,9,36044639,3186699,1678625,79090,127105,14815479,9530647,6626994,5071519,30973120,8.84097909817,4.65707258158,0.219422366805,0.352632190324,41.1031415795,26.4412330499,18.3855191336,14.0701062369,85.9298937631,9,9,5192,3186699,1678625,35917534,6706084,8384709,8.87226556255,4.67355303401,23.3443337173,18.6707806833,36049870.395752,51775.8954995561
10,Fenway/Longwood,749.230408156,10,29636.3026347,10,10,32485662,5957702,2901198,122517,535209,10999368,6497632,5472036,9516626,22969036,18.3394815842,8.93070302831,0.377141767959,1.64752375987,33.8591468445,20.0015379092,16.8444651059,29.2948501403,70.7051498597,10,10,1714,5957702,2901198,31950453,5594553,8495751,18.6466902363,9.08030318068,26.5903929437,17.510089763,32487369.723877,29636.3026346738
11,Allston-Brighton,2838.94307497,11,57966.6057881,11,11,123497280,27310199,17558531,444963,4152382,26294311,20276889,27460005,49466075,74031205,22.1140085029,14.2177471439,0.360301862519,3.36232668444,21.2914090092,16.4188952178,22.2353115793,40.0543841937,59.9456158063,11,11,5653,27310199,17558531,119344898,27904968,45463499,22.8834239734,14.712427003,38.0942124564,23.3817854535,123503198.315308,57966.6057880769
12,West Roxbury,3516.42178618,12,67141.97727,12,12,151284376,64295095,35471668,2158890,1028558,16997403,12675898,18656864,102954211,48330165,42.499494462,23.4470134576,1.42704095233,0.679883823562,11.2353988227,8.37885466772,12.3323138141,68.0534326955,31.9465673045,12,12,4414,64295095,35471668,150255818,20815754,56287422,42.7904196029,23.6075171479,37.4610599105,13.8535427627,151290728.017456,67141.9772699751
13,Hyde Park,2927.22116773,13,67002.0876747,13,13,127271569,51423243,26092775,360533,1686633,15258122,13910927,18539336,79563184,47708385,40.4043443513,20.5016526511,0.283278506608,1.32522370334,11.9886335337,10.9301135433,14.5667537107,62.5144992123,37.4855007877,13,13,1041,51423243,26092775,125584936,18899869,44992644,40.9469834822,20.7769943045,35.8264656838,15.0494713793,127272537.193848,67002.087674726
14,Mattapan,1352.10430988,14,45244.9292242,14,14,58452651,20799757,12215944,533416,2480,8963038,7358742,8579274,33551597,24901054,35.5839412656,20.89887078,0.912560834923,0.0042427502561,15.3338434556,12.5892356875,14.6773052261,57.3996156308,42.6003843692,14,14,922,20799757,12215944,58450171,9112690,21328634,35.5854510674,20.8997575046,36.4902850327,15.5905275281,58453600.6481934,45244.9292242374
15,Dorchester,4913.34600152,15,109062.295194,15,15,214015424,48018572,41265063,1597820,369853,44853870,32573342,45336904,91251308,122764116,22.4369679075,19.2813500208,0.746591049438,0.172816048997,20.9582417761,15.220090866,21.1839423312,42.6377250268,57.3622749732,15,15,8591,48018572,41265063,213645571,46934724,88199787,22.4758097138,19.3147289723,41.283227444,21.9684984717,214024483.906738,109062.295194023
16,South Boston,2061.73233104,16,91045.6171792,16,16,89710003,7478657,6822808,1904969,368656,24083849,17165050,31886014,16575090,73134913,8.33648060406,7.60540382548,2.12347445803,0.410941910235,26.8463361884,19.1339309174,35.5434320964,18.4763007978,81.5236992022,16,16,13135,7478657,6822808,89341347,33790983,40613791,8.37088005848,7.63678658214,45.45912096,37.8223343778,89723173.793457,91045.6171791675
17,Harbor Islands,824.888657939,17,88953.9585959,17,17,34323584,8968553,12211888,4589139,908791,2974494,943353,3727366,26678371,7645213,26.1294187693,35.5787087968,13.3702208953,2.64771592617,8.66603557484,2.74841053895,10.8594894985,77.7260643877,22.2739356123,17,17,18899,8968553,12211888,33414793,8316505,20528393,26.8400675114,36.5463523895,61.4350446522,24.8886922627,34407152.2912598,88953.9585958739
