ownership,area_ft2,total_tree_canopy,Percentage of Total Tree Canopy
ROW,40619665.113433704,356160392.6984628,11.4
city owned,66422639.98876632,356160392.6984628,18.65
non-city owned,249118087.5962628,356160392.6984628,69.95
