,public_or_private,Gain,Loss,2014 Tree Canopy,2019 Tree Canopy,diff_g_l,Percent_Diff
0,Private,27161490.54688891,29202343.967948165,253146314.59188947,251105461.1708354,-2040853.4210592536,-0.8061951936152942
1,Public,5468686.154848546,4190452.6178229763,64860149.63998806,66138383.17710204,1278233.5370255702,1.970753296452331
2,ROW,7443209.17023,6432831.17656,39867795.4544,40878173.4481,1010377.9936700007,2.53432120382891
