,OWNER,SCORE,Flagged
0,CITY OF BOSTON,100,
1,CITY OF BOSTON BY FCL,100,
4,BOSTON HOUSING AUTHORITY,100,
9,BOSTON REDEVELOPMENT AUTH,91,
55,BOSTON HOUSING AUTH,88,
71,CITY OF BOSTON FCL,100,
104,BOSTON REDEVELOPMNT AUTH,89,
115,BOSTON REDVLPMNT AUTH,82,
124,BOSTON REDEVELOPMENT,100,
207,BOSTON REDEVLPMNT AUTH,85,
253,CITY OF BOSTON MUNICIPAL CP,100,
313,BOSTON REDEVLPMNT AUTHOR,89,
353,BOSTON WATER & SEWER,100,
401,BOSTON REDVLPMNT AUTHOR,87,
424,BOSTON REDEVELPMENT AUTH,89,
437,BOSTON REDEVELPMNT AUTH,87,
481,BOSTON WATER & SEWER COMM,88,
556,BOSTON REDEVELOPMENT LLC,91,
576,BOSTON DEVELOPMENT,100,
678,CITY OF BOSTON (POLICE),100,
915,K & K DEVELOPMENT INC,79,1
1114,CITY OF BOSTON PARKS AND,100,
1362,BDC DEVELOPMENT &,85,1
2456,CITY OF BOSTON PWD,100,
2491,CITY OF BOSTON SCHOOL DEPT,100,
2963,CITY  OF  BOSTON,100,
3746,CITY OF BOSTON PUBLIC HEALTH,100,
4113,SHOLES BOSTON LLC,79,1
4397,BOSTON REDEVELOPMENT AUTHOR,95,
4846,BOSTON CITY LLC,88,1
4999,CITY OF BOSTON DND,100,
6355,BOSTON REDEVELOP AUTHORITY,93,
6701,BOSTON REDEVLOPMENT AUTH,89,
6967,CITY OF BOSTON (POLICE DEPT),100,
7002,CITY OF BOSTON FCL.,100,
7021,CITY OF BOSTON - DND,100,
11617,CITY OF BOSTON CREDIT UNION,100,
11632,CITY OF BOSTON PARKS,100,
14354,CITY OF BOSTON TRST,100,
17378,BOSTON PUBLIC MARKET,79,1
19123,BOSTON PUBLIC HEALTH,79,
39259,BOSTON CITY DEVELOPERS LLC,88,1
63660,BOSTON CITY LIGHTS FOUNDATON,88,1
74267,CITY OF BOSTON (FCL),100,
74511,CITY OF BOSTON PARKS/REC,100,
75448,CITY OF BOSTON PUB FACIL,100,
77625,CITY OF BOSTON MUNICIPAL,100,
91567,CITY OF BOSTON DPW,100,
92210,BOSTON REDEVOPMENT AUTH,87,
92211,BOSTON REDEVLOPMENT AUTHORIT,97,
92213,BOSTON  REDEVELOPMENT,100,
94417,CITY OF BOSTON PARKS COMM,100,
96547,BOSTON WATER AND SEWER,100,
97024,BOSTON REDEVELOPEMENT AUTH,89,
97718,BOSTON REDVELOPMENT AUTH,89,
98691,CITY OF BOSTON PUBLIC FACLTS,100,
104230,BOSTON REDEVELOPMENT AUTHORI,97,
105248,CITY OF NEWTON,79,1
106114,CITY OF BOSTON (PARK),100,
106189,AND DEVELOPMENT LLC,88,1
106366,BOSTON HOUSING AUTHOURTY,96,
106813,DEVELOPMENT TRUST,79,1
106905,CITY OF BOSTON PUBLIC WORKS,100,
109461,CITY OF BOSTON PFD,100,
110928,CITY OF BOSTON CONSERVATION,100,
113443,BOSTON GARDEN DEVELOPMENT,84,1
116641,CITY OF BOSTON LIBRARY DEPT,100,
118251,BOSTON WATER AND SEWER COMM,90,
118298,CITY OF BOSTON FIRE DEPARTME,100,
121543,BOSTON REDEVELPOMENT AUTH,87,
124628,CITY OB BOSTON PUBLIC HEALTH,88,
127849,CITY OF BOSTON PARKS & REC,100,
